Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13344171.0,condition-3,26.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,with a feeling of relief,"being startled, getting a shock",i8kh-dokiri.mp4,0,7692.300000035786
18.0,13344171.0,condition-3,27.0,i2,interoceptive,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,"downhearted, dejected","happy, elated, euphoric","downhearted, dejected",i2hk-syoboN.mp4,1,9465.900000000023
18.0,13344171.0,condition-3,28.0,v1,visual,v1kh-gizagiza.mp4,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,"jagged, serrated","jagged, serrated",big and round,v1kh-gizagiza.mp4,1,8947.300000011921
18.0,13344171.0,condition-3,29.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy","glittering, sparkling","dark, gloomy",v2kh-kirakira.mp4,0,8803.800000011921
18.0,13344171.0,condition-3,30.0,a6,auditory,a6hk-dosari.mp4,a6kh-katitto.mp4,a6hk-dosari.mp4,with a thud,with a thud,"click, snap",a6hk-dosari.mp4,1,9514.799999988056
18.0,13349143.0,condition-2,1.0,v7,visual,v7hh-boNyari.mp4,v7kk-kiritto.mp4,v7kk-kiritto.mp4,"crisp appearance, stiffly","dim, faint, indistinct","crisp appearance, stiffly",v7hh-boNyari.mp4,0,12105.02000000002
18.0,13349143.0,condition-2,2.0,i2,interoceptive,i2kk-ruNruN.mp4,i2hh-syoboN.mp4,i2hh-syoboN.mp4,"downhearted, dejected","happy, elated, euphoric","downhearted, dejected",i2kk-ruNruN.mp4,0,9138.379999999888
18.0,13349143.0,condition-2,3.0,i5,interoceptive,i5hh-nobinobi.mp4,i5kk-harahara.mp4,i5kk-harahara.mp4,"anxious, nervous","anxious, nervous","comfortable, peaceful",i5hh-nobinobi.mp4,0,9189.419999999924
18.0,13349143.0,condition-2,4.0,v0,visual,v0kk-tiratira.mp4,v0hh-kukkiri.mp4,v0hh-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hh-kukkiri.mp4,1,10006.219999999972
18.0,13349143.0,condition-2,5.0,a7,auditory,a7hh-dosidosi.mp4,a7kk-gisigisi.mp4,a7kk-gisigisi.mp4,"with a creak, squeak","with a creak, squeak","tramping, stomping",a7kk-gisigisi.mp4,1,8803.800000000047
18.0,13349143.0,condition-2,6.0,a5,auditory,a5kk-dotabata.mp4,a5hh-sororisorori.mp4,a5kk-dotabata.mp4,"noisily, with heavy feet",slowly and quietly,"noisily, with heavy feet",a5kk-dotabata.mp4,1,8755.139999999898
18.0,13349143.0,condition-2,7.0,a0,auditory,a0kk-katakata.mp4,a0hh-gosogoso.mp4,a0hh-gosogoso.mp4,with a rustling sound,with a rustling sound,"clattering, rattling",a0kk-katakata.mp4,0,12304.52000000002
18.0,13349143.0,condition-2,8.0,i3,interoceptive,i3hh-sukkiri.mp4,i3kk-iraira.mp4,i3kk-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3kk-iraira.mp4,1,8571.879999999888
18.0,13349143.0,condition-2,9.0,i1,interoceptive,i1hh-geNnari.mp4,i1kk-gatugatu.mp4,i1kk-gatugatu.mp4,"ravenously, greedily","weary, fed up, dejected","ravenously, greedily",i1hh-geNnari.mp4,0,10787.580000000076
18.0,13349143.0,condition-2,10.0,i9,interoceptive,i9hh-yuttari.mp4,i9kk-dokidoki.mp4,i9kk-dokidoki.mp4,with a rapid heartbeat,"comfortable, calm, relaxed",with a rapid heartbeat,i9hh-yuttari.mp4,0,14838.620000000112
18.0,13349143.0,condition-2,11.0,v4,visual,v4hh-bissiri.mp4,v4kk-barabara.mp4,v4hh-bissiri.mp4,"closely lined up, densely","closely lined up, densely","scattered, in pieces",v4hh-bissiri.mp4,1,9289.620000000112
18.0,13349143.0,condition-2,12.0,a3,auditory,a3hh-ziriziri.mp4,a3kk-syakisyaki.mp4,a3kk-syakisyaki.mp4,"crisp, crunchy","crisp, crunchy","sizzling, oozing",a3hh-ziriziri.mp4,0,10553.679999999937
18.0,13349143.0,condition-2,13.0,a6,auditory,a6kk-katitto.mp4,a6hh-dosari.mp4,a6hh-dosari.mp4,with a thud,with a thud,"click, snap",a6hh-dosari.mp4,1,9669.040000000035
18.0,13349143.0,condition-2,14.0,a2,auditory,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,a2hh-zyaazyaa.mp4,noisily gushing,"dripping, trickling",noisily gushing,a2hh-zyaazyaa.mp4,1,9086.740000000224
18.0,13349143.0,condition-2,15.0,i0,interoceptive,i0kk-wakuwaku.mp4,i0hh-uNzari.mp4,i0hh-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0kk-wakuwaku.mp4,0,10720.720000000205
